ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
Q91F89	436R(IIV6gp432)	Invertebrate iridescent virus 6												Complete proteome,Reference proteome,	chain:Uncharacterized protein 436R,
Q5ZIZ4	5'-nucleotidase, cytosolic II(NT5C2)	Gallus gallus				GO:0016311~dephosphorylation,GO:0046040~IMP metabolic process,GO:0046085~adenosine metabolic process,	GO:0005737~cytoplasm,	GO:0000166~nucleotide binding,GO:0008253~5'-nucleotidase activity,GO:0046872~metal ion binding,	IPR008380:HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase,IPR016695:Purine 5'-nucleotidase,IPR023214:HAD-like domain,	gga00230:Purine metabolism,gga00240:Pyrimidine metabolism,gga00760:Nicotinate and nicotinamide metabolism,gga01100:Metabolic pathways,		PIRSF017434:cytosolic purine 5'-nucleotidase,		Allosteric enzyme,Coiled coil,Complete proteome,Cytoplasm,Hydrolase,Magnesium,Metal-binding,Nucleotide metabolism,Nucleotide-binding,Reference proteome,	active site:Nucleophile,active site:Proton donor,binding site:Allosteric activator 1,binding site:Allosteric activator 1; via carbonyl oxygen,binding site:Allosteric activator 2,chain:Cytosolic purine 5'-nucleotidase,compositionally biased region:Asp/Glu-rich (acidic),metal ion-binding site:Magnesium,metal ion-binding site:Magnesium; via carbonyl oxygen,region of interest:Substrate binding,
P49914	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)(MTHFS)	Homo sapiens				GO:0006536~glutamate metabolic process,GO:0009396~folic acid-containing compound biosynthetic process,GO:0015942~formate metabolic process,GO:0035999~tetrahydrofolate interconversion,GO:0046653~tetrahydrofolate metabolic process,GO:0046655~folic acid metabolic process,GO:0046657~folic acid catabolic process,	GO:0005737~cytoplasm,GO:0005759~mitochondrial matrix,GO:0005829~cytosol,	GO:0005524~ATP binding,GO:0005542~folic acid binding,GO:0030272~5-formyltetrahydrofolate cyclo-ligase activity,GO:0046872~metal ion binding,	IPR002698:5-formyltetrahydrofolate cyclo-ligase,IPR024185:5-formyltetrahydrofolate cyclo-ligase-like domain,	hsa00670:One carbon pool by folate,hsa01100:Metabolic pathways,		PIRSF006806:5-formyltetrahydrofolate cyclo-ligase,		3D-structure,Acetylation,Alternative splicing,ATP-binding,Complete proteome,Cytoplasm,Folate-binding,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Polymorphism,Proteomics identification,Reference proteome,	binding site:ATP,binding site:Substrate,chain:5-formyltetrahydrofolate cyclo-ligase,modified residue,mutagenesis site,nucleotide phosphate-binding region:ATP,region of interest:Substrate binding,sequence variant,
Q975Y9	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase(STK_RS01625)	Sulfolobus tokodaii str. 7				GO:0006189~'de novo' IMP biosynthetic process,		GO:0000287~magnesium ion binding,GO:0005524~ATP binding,GO:0016879~ligase activity, forming carbon-nitrogen bonds,GO:0030145~manganese ion binding,	IPR009720:IMP biosynthesis enzyme PurP, C-terminal,IPR010672:IMP biosynthesis enzyme PurP, N-terminal,IPR011761:ATP-grasp fold,IPR013815:ATP-grasp fold, subdomain 1,IPR013816:ATP-grasp fold, subdomain 2,IPR016185:Pre-ATP-grasp domain,IPR023656:IMP biosynthesis enzyme PurP,			PIRSF004602:conserved hypothetical protein MJ0136,		ATP-binding,Complete proteome,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome,	binding site:ATP,binding site:Substrate,chain:5-formaminoimidazole-4-carboxamide-1- (beta)-D-ribofuranosyl 5'-monophosphate synthetase,domain:ATP-grasp,metal ion-binding site:Magnesium or manganese,nucleotide phosphate-binding region:ATP,
P35382	5-hydroxytryptamine receptor 2A(Htr2a)	Cavia porcellus				GO:0006939~smooth muscle contraction,GO:0007202~activation of phospholipase C activity,GO:0007610~behavior,GO:0010513~positive regulation of phosphatidylinositol biosynthetic process,GO:0014065~phosphatidylinositol 3-kinase signaling,GO:0033674~positive regulation of kinase activity,GO:0042493~response to drug,GO:0044380~protein localization to cytoskeleton,GO:0045600~positive regulation of fat cell differentiation,GO:0045821~positive regulation of glycolytic process,GO:0046883~regulation of hormone secretion,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050795~regulation of behavior,GO:0051209~release of sequestered calcium ion into cytosol,GO:0070374~positive regulation of ERK1 and ERK2 cascade,	GO:0005622~intracellular,GO:0005887~integral component of plasma membrane,GO:0005901~caveola,GO:0016023~cytoplasmic, membrane-bounded vesicle,GO:0030424~axon,GO:0043198~dendritic shaft,	GO:0004993~G-protein coupled serotonin receptor activity,GO:0008144~drug binding,GO:0051378~serotonin binding,GO:0071886~1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR000455:5-Hydroxytryptamine 2A receptor,IPR002231:5-Hydroxytryptamine receptor family,IPR017452:GPCR, rhodopsin-like, 7TM,				SM01381:SM01381,	Behavior,Cell membrane,Cell projection,Complete proteome,Cytoplasmic vesicle,Disulfide bond,G-protein coupled receptor,Membrane,Phosphoprotein,Receptor,Reference proteome,Transducer,Transmembrane,Transmembrane helix,	chain:5-hydroxytryptamine receptor 2A,disulfide bond,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
P57238	50S ribosomal protein L25(rplY)	Buchnera aphidicola str. APS (Acyrthosiphon pisum)				GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0008097~5S rRNA binding,	IPR011035:Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain,IPR020055:Ribosomal protein L25, short-form,IPR020056:Ribosomal protein L25/Gln-tRNA synthetase, beta-barrel domain,	buc03010:Ribosome,				Complete proteome,Reference proteome,Ribonucleoprotein,Ribosomal protein,RNA-binding,rRNA-binding,	chain:50S ribosomal protein L25,
Q5E896	50S ribosomal protein L30(rpmD)	Vibrio fischeri ES114				GO:0006412~translation,	GO:0015934~large ribosomal subunit,	GO:0003735~structural constituent of ribosome,	IPR005996:Ribosomal protein L30, bacterial-type,IPR016082:Ribosomal protein L30, ferredoxin-like fold domain,	vfi03010:Ribosome,		PIRSF002211:ribosomal protein L30p,		Complete proteome,Reference proteome,Ribonucleoprotein,Ribosomal protein,	chain:50S ribosomal protein L30,
P32794	AAA family ATPase AFG2(AFG2)	Saccharomyces cerevisiae S288c				GO:0042273~ribosomal large subunit biogenesis,GO:0042493~response to drug,	GO:0005622~intracellular,GO:0030687~preribosome, large subunit precursor,	GO:0000166~nucleotide binding,GO:0005524~ATP binding,GO:0016887~ATPase activity,	IPR003593:AAA+ ATPase domain,IPR003959:ATPase, AAA-type, core,IPR003960:ATPase, AAA-type, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	sce03008:Ribosome biogenesis in eukaryotes,			SM00382:AAA,	ATP-binding,Complete proteome,Nucleotide-binding,Reference proteome,Repeat,	chain:ATPase family gene 2 protein,nucleotide phosphate-binding region:ATP 1,nucleotide phosphate-binding region:ATP 2,
Q9SIT6	ABC-2 type transporter family protein(ABCG5)	Arabidopsis thaliana				GO:0055085~transmembrane transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0005524~ATP binding,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR013525:ABC-2 type transporter,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,				SM00382:AAA,	ATP-binding,Complete proteome,Membrane,Nucleotide-binding,Reference proteome,Transmembrane,Transmembrane helix,Transport,	chain:ABC transporter G family member 5,domain:ABC transmembrane type-2,domain:ABC transporter,nucleotide phosphate-binding region:ATP,transmembrane region,
Q75CD6	ACL027Cp(AGOS_ACL027C)	Eremothecium gossypii ATCC 10895				GO:0010388~cullin deneddylation,	GO:0005737~cytoplasm,GO:0008180~COP9 signalosome,							Complete proteome,Cytoplasm,Nucleus,Reference proteome,Signalosome,	chain:COP9 signalosome complex subunit 11,domain:PCI,
Q752U2	AFR481Wp(AGOS_AFR481W)	Eremothecium gossypii ATCC 10895				GO:0006364~rRNA processing,	GO:0005730~nucleolus,GO:0030687~preribosome, large subunit precursor,		IPR005579:Cgr1,					Coiled coil,Complete proteome,Nucleus,Reference proteome,Ribosome biogenesis,rRNA processing,	chain:rRNA-processing protein CGR1,
P25054	APC, WNT signaling pathway regulator(APC)	Homo sapiens	84.Ubiquitination_Pathways_Cell_Cycle,90.IB_and-cat-Arm_processing_of_Ci,97.Immune_injury_MS-lesions_MS_antigen,	h_alkPathway:ALK in cardiac myocytes,H_gsk3Pathway:Inactivation of Gsk3 by AKT causes accumulation of b-catenin in Alveolar Macrophages,h_pitx2Pathway:Multi-step Regulation of Transcription by Pitx2,h_ps1Pathway:Presenilin action in Notch and Wnt signaling,h_tgfbPathway:TGF beta signaling pathway,h_wntPathway:WNT Signaling Pathway,		GO:0000281~mitotic cytokinesis,GO:0001708~cell fate specification,GO:0006461~protein complex assembly,GO:0006921~cellular component disassembly involved in execution phase of apoptosis,GO:0006974~cellular response to DNA damage stimulus,GO:0007026~negative regulation of microtubule depolymerization,GO:0007050~cell cycle arrest,GO:0007094~mitotic spindle assembly checkpoint,GO:0007155~cell adhesion,GO:0007163~establishment or maintenance of cell polarity,GO:0007389~pattern specification process,GO:0008285~negative regulation of cell proliferation,GO:0016055~Wnt signaling pathway,GO:0016477~cell migration,GO:0030178~negative regulation of Wnt signaling pathway,GO:0030335~positive regulation of cell migration,GO:0031016~pancreas development,GO:0031175~neuron projection development,GO:0031274~positive regulation of pseudopodium assembly,GO:0032886~regulation of microtubule-based process,GO:0042493~response to drug,GO:0043065~positive regulation of apoptotic process,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0045595~regulation of cell differentiation,GO:0045732~positive regulation of protein catabolic process,GO:0045736~negative regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0051988~regulation of attachment of spindle microtubules to kinetochore,GO:0060070~canonical Wnt signaling pathway,GO:0070830~bicellular tight junction assembly,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0097305~response to alcohol,GO:1904885~beta-catenin destruction complex assembly,GO:1904886~beta-catenin destruction complex disassembly,GO:1990090~cellular response to nerve growth factor stimulus,GO:2000211~regulation of glutamate metabolic process,	GO:0000776~kinetochore,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0005829~cytosol,GO:0005874~microtubule,GO:0005881~cytoplasmic microtubule,GO:0005886~plasma membrane,GO:0005912~adherens junction,GO:0005913~cell-cell adherens junction,GO:0005923~bicellular tight junction,GO:0005938~cell cortex,GO:0016328~lateral plasma membrane,GO:0016342~catenin complex,GO:0030027~lamellipodium,GO:0030425~dendrite,GO:0030877~beta-catenin destruction complex,GO:0031965~nuclear membrane,GO:0032587~ruffle membrane,GO:0043025~neuronal cell body,GO:0044295~axonal growth cone,GO:0044306~neuron projection terminus,GO:0045202~synapse,GO:0070852~cell body fiber,GO:1990909~Wnt signalosome,	GO:0005515~protein binding,GO:0008013~beta-catenin binding,GO:0008017~microtubule binding,GO:0019887~protein kinase regulator activity,GO:0019901~protein kinase binding,GO:0045295~gamma-catenin binding,GO:0045296~cadherin binding,GO:0051010~microtubule plus-end binding,	IPR000225:Armadillo,IPR009223:Adenomatous polyposis coli protein, cysteine-rich repeat,IPR009224:SAMP,IPR009232:EB-1 binding,IPR009234:Adenomatous polyposis coli protein basic domain,IPR009240:Adenomatous polyposis coli protein, 15 residue repeat,IPR011989:Armadillo-like helical,IPR016024:Armadillo-type fold,IPR026818:Adenomatous polyposis coli (APC)  family,IPR026831:Adenomatous polyposis coli domain,IPR026836:Adenomatous polyposis coli,	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04810:Regulation of actin cytoskeleton,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05206:MicroRNAs in cancer,hsa05210:Colorectal cancer,hsa05213:Endometrial cancer,hsa05217:Basal cell carcinoma,	114500~Colorectal cancer, somatic,114550~Hepatoblastoma, somatic,135290~Desmoid disease, hereditary,175100~Adenomatous polyposis coli,175100~Brain tumor-polyposis syndrome 2,175100~Gardner syndrome,613659~Gastric cancer, somatic,Adenoma, periampullary, somatic~Adenoma, periampullary, somatic,		SM00185:ARM,	3D-structure,Acetylation,Alternative splicing,Cell junction,Cell membrane,Cell projection,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Disease mutation,Membrane,Microtubule,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Tumor suppressor,Ubl conjugation,Wnt signaling pathway,	chain:Adenomatous polyposis coli protein,compositionally biased region:Asp/Glu-rich (acidic),compositionally biased region:Leu-rich,compositionally biased region:Ser-rich,helix,modified residue,mutagenesis site,region of interest:Highly charged,region of interest:Responsible for down-regulation through a process mediated by direct ubiquitination,repeat:ARM 1,repeat:ARM 2,repeat:ARM 3,repeat:ARM 4,repeat:ARM 5,repeat:ARM 6,repeat:ARM 7,sequence conflict,sequence variant,short sequence motif:PDZ-binding,splice variant,turn,
