Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Complement pathway	18	2.496532593619972	4.328387088224635E-18	P01030, P01031, P08649, Q2UVX4, Q3SYW2, P12387, P31722, P98093, Q29RU4, P01027, Q2KIV9, Q63514, P08174, P01024, P0C0L4, Q8SQ74, P01025, P06681	719	88	79990	22.756037425717537	1.934789028436412E-15	3.869578056872824E-16	6.134800197627266E-15
SMART	SM00032:CCP	22	3.0513176144244105	4.698001431106165E-18	P04186, Q03591, P81187, P55067, P08603, P14650, Q9BXR6, Q28085, P06909, P26644, Q09101, Q07968, Q3SYW2, P00751, Q864W0, Q29RU4, Q63514, P08174, P05160, P17690, Q8SQ74, P06681	355	145	33701	14.403535696940263	1.2590643835364522E-15	1.2590643835364522E-15	6.1698713453633335E-15
UP_KEYWORDS	Innate immunity	36	4.993065187239944	7.689682546584173E-18	P01030, P01031, P08649, Q3T0W7, P81187, P08603, Q28085, Q2TBI0, Q95460, Q3SYW2, P00751, Q9I8N6, Q864W0, Q29RU4, P98093, P01027, Q01628, P08174, P01024, Q8SQ74, P01025, P06681, Q9CQW9, Q07014, P04186, P26151, Q60754, Q2UVX4, P06909, Q8WTT0, P12387, P31722, Q2KIV9, Q63514, O19477, P0C0L4	719	610	79990	6.565676372010306	3.4372880983231253E-15	5.728813497205209E-16	1.0898901841476716E-14
UP_KEYWORDS	Acetylation	137	19.00138696255201	8.488777954872818E-18	P00367, P04114, Q2KHZ9, P49914, Q3T0W7, P53597, Q5NVR2, Q8BXQ8, Q6NT16, P82013, P25054, Q8BWF0, Q60415, Q8CG45, P63255, Q62733, Q0VCM4, P41562, Q9Z2V4, A8E657, Q3SZY7, P04181, Q9N261, Q3ZBD0, P49312, P08169, Q99MN9, P15650, P13797, P21571, Q15067, Q9CXW2, Q99439, Q16851, P51659, O43639, Q9DCM0, O88989, P17480, P19536, O76080, Q9WUM5, Q6B4U9, Q3SZZ2, P09623, P55859, Q29448, Q9XSG3, Q13315, Q6B855, P30042, Q03265, P84245, Q5ZLN1, P14527, Q8CAQ8, P34943, P12762, P31800, Q5RC24, Q8CGC6, Q9UPQ4, Q0II70, Q9JM53, P21953, P19367, Q60759, P50395, P31937, F1LP64, Q99797, Q9QYI3, Q5R6X7, Q8R197, Q9EQ20, Q5RFH9, Q9UL12, Q5R5B6, P00428, P11586, Q91YT0, Q920P0, Q6Q308, Q5RB83, Q96I99, Q2KJC9, P13804, P23004, P36957, O95167, P16930, Q5RE79, Q9NZ01, P11181, P56382, Q99LB7, Q68FU3, P11179, Q5RC80, P11884, Q99L27, P02607, P28331, P61292, Q8WNV7, P02019, Q6Q311, Q32PE0, Q569Z6, O46629, P00504, Q5E951, Q7TMV1, Q9CZ13, Q7PCJ8, Q2TBR0, P17735, O88844, P05166, P52293, Q9BX68, Q9JK11, Q923S8, Q810T5, A1YIZ1, Q15843, P51145, P35558, O14975, P15999, P62937, Q99615, P60519, Q96KP4, Q05519, Q62651, Q06647	719	7041	79990	2.164676633720357	3.7944837458281495E-15	5.420691065468785E-16	1.2031492473684471E-14
UP_SEQ_FEATURE	domain:Sushi 2	19	2.6352288488210815	1.422596784267582E-17	P04186, Q03591, P81187, P08603, Q9BXR6, Q28085, P06909, P26644, Q09101, Q07968, Q3SYW2, P00751, Q29RU4, Q864W0, Q63514, P08174, P05160, P17690, P06681	635	107	67159	18.780204577231583	2.3330587261988344E-14	7.776862420662781E-15	2.3892032714329882E-14
UP_KEYWORDS	Complement alternate pathway	14	1.9417475728155338	2.087677828802843E-17	P01031, P04186, P81187, P08603, Q28085, Q2UVX4, P06909, P12387, P00751, P98093, Q864W0, P01027, P01024, P01025	719	40	79990	38.93810848400556	9.331919894748709E-15	1.1664899868435886E-15	2.9589512434237853E-14
UP_KEYWORDS	Disulfide bond	147	20.388349514563107	2.3340919186840653E-16	P33005, P04114, B9A064, P81187, P08603, P14650, Q28085, Q2TBI0, P02457, B8XY56, O43291, Q1WLP9, Q9I8N6, Q16627, Q91ZX1, Q864W0, P98093, Q8BWF0, P08174, P06681, P10619, Q6V0K7, Q62928, P04186, P98165, P01882, Q03591, Q9R182, P26824, Q6UXC1, Q28072, P11941, P04233, P08169, A1L1V4, A6QPN6, O19477, P14222, Q02445, O75829, Q86XS5, O89051, P55067, Q6P1C6, Q6B4U9, P97468, P09623, Q95460, Q29448, Q9EP73, Q29RU4, Q3UZZ4, Q60943, Q9UHC6, P78556, Q2UVX4, Q60754, Q5R412, O93449, Q09101, P01015, Q8WTT0, P35382, Q2WEN9, Q62469, P0C0L4, P01030, P01031, O70460, P08649, P53690, Q5R5B6, Q5EA85, A5HAK0, Q07968, P60509, O42197, P55906, P13609, P40259, A9QWP9, P01027, Q5R811, P97583, P01024, P01025, P02679, Q5E968, A0MSX9, P02786, Q01151, P26151, Q60675, Q9BXR6, Q63ZW2, Q9ULY5, Q70I47, P05107, P23576, Q3LRP1, P02701, P31722, P56159, Q99969, Q5ZJF4, Q8HY81, P25116, P17690, Q63198, Q29RY7, Q2QLE0, Q8MJS1, Q7Z4H4, O73872, O42204, P29279, P15814, P12799, P48960, O89093, P26644, D3YXG0, Q3SYW2, P00751, P01836, P19637, P21188, O46427, P05160, Q8SQ74, Q8VEJ3, P17634, A4IG32, O08565, Q9NR34, Q924C5, Q91590, Q3ZCJ8, P18468, P06909, O93484, P12387, O15393, Q75ZP3, Q2KIV9, Q63514, P35846	719	8085	79990	2.022758882286003	9.9253938401489E-14	1.099120794378905E-14	3.1086244689504383E-13
UP_SEQ_FEATURE	domain:Sushi 1	18	2.496532593619972	2.6007798953507614E-16	P04186, Q03591, P81187, P08603, Q9BXR6, Q28085, P06909, Q09101, Q07968, Q3SYW2, P00751, Q29RU4, Q864W0, Q63514, P08174, P05160, P17690, P06681	635	106	67159	17.959619670182736	3.6415315207705135E-13	9.103828801926284E-14	3.774758283725532E-13
INTERPRO	IPR018081:Anaphylatoxin	10	1.3869625520110958	8.556101053633625E-16	P01030, P01031, P12387, P08649, P98093, P01027, Q2UVX4, P01024, P0C0L4, P01025	703	14	76330	77.55537492379597	1.2612133559741778E-12	6.306066779870889E-13	1.4654943925052066E-12
GOTERM_BP_DIRECT	GO:0006956~complement activation	15	2.0804438280166435	1.3949720920721202E-15	P01031, P04186, P08649, Q03591, P08603, Q2UVX4, Q3SYW2, P12387, P00751, Q864W0, P01027, P01024, Q8SQ74, P0C0L4, P06681	647	64	67534	24.464113214837713	3.3282265832212943E-12	1.109445868507919E-12	2.5202062658991053E-12
UP_KEYWORDS	Secreted	99	13.730929264909847	5.0345164015446175E-15	P04114, Q3MHZ8, B9A064, P81187, P08603, Q28085, Q2TBI0, B8XY56, P02457, Q16627, P98093, Q864W0, P08174, P95493, P06681, P04186, P01882, Q03591, Q9R182, Q76B49, P11941, Q99674, A1L1V4, A6QPN6, P67934, P14222, P0DKX7, Q02445, Q86XS5, O75829, O89051, P51655, P55067, Q95460, Q29RU4, Q3UZZ4, Q13790, P50450, P78556, Q2UVX4, O93449, Q09101, P01015, Q2WEN9, P0C0L4, Q7Z5L3, P01030, P01031, O70460, P08649, A5HAK0, Q1LUM3, Q07968, O42197, P55906, Q9BZM1, P13609, A9QWP9, P01027, P01024, P01025, P02679, P02786, Q60675, Q9BXR6, Q70I47, P02701, P31722, P0DMT8, Q99969, P17690, Q29RY7, Q7Z4H4, P29279, P15814, P12799, P48960, O89093, P26644, Q3SYW2, P00751, P19637, P05160, Q8SQ74, Q8VEJ3, P17634, Q8NRS1, P06909, P62937, P12387, O93484, O15393, Q6UXH0, Q75ZP3, Q2KIV9, Q3V3I5, P35846, Q63514, Q5QT17	719	4642	79990	2.3726674093165205	2.2332136140335024E-12	2.233768725545815E-13	7.083222897108499E-12
UP_SEQ_FEATURE	domain:Anaphylatoxin-like	9	1.248266296809986	9.684697253259424E-15	P01030, P01031, P12387, P08649, P98093, P01027, Q2UVX4, P01024, P0C0L4	635	11	67159	86.532712956335	1.5840662115351734E-11	3.1681324230703467E-12	1.6220358389773537E-11
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	113	15.672676837725383	1.0966763922956218E-14	P00367, Q2KHZ9, P53597, P14650, P87141, Q6FQF0, Q15070, Q8BWF0, Q8CG45, Q05A80, P41562, Q3UV71, Q5I0P2, A8E657, P04181, Q99MN9, P15650, P21571, Q15067, Q9CXW2, P51659, Q9DCM0, Q9CQ54, O88989, Q5F339, P19536, Q6DGU5, Q9WUM5, Q6B4U9, P09623, P30042, Q03265, Q60HE3, Q9BQP7, Q90XD2, Q9YGD2, Q3UZZ4, Q8CAQ8, P31800, O75489, P12762, Q9JM53, Q498P2, P21953, P19367, Q60759, P01015, O01884, P31937, P46742, P38671, Q99797, Q9EQ20, Q5RBH2, Q9UL12, Q9SI53, P11586, Q07973, Q91YT0, Q9Z1P3, P21265, Q96I99, Q2KJC9, P13804, P36957, O95167, O94903, Q6NY77, P02786, Q64441, P84092, O95847, Q9JIQ3, P56382, Q63ZW2, P56384, Q99LB7, Q68FU3, O95563, P11179, O95299, P00125, Q9LVQ8, Q5PRA2, P11884, P28331, Q9QZ23, Q8WNV7, Q2TBK2, Q8BMF3, O46629, P00504, Q9CZ13, P00508, Q1NZ26, P17735, O95479, O88844, Q7ZVF3, P05166, Q58CX2, Q99MQ3, Q9NR28, Q9BX68, A4IG32, Q99N96, Q7SY23, O14975, P15999, Q62651, Q8R2Y0, Q06647, A5PL98	672	5267	68124	2.174933548509588	4.869105119098549E-12	2.4344970483980433E-12	1.5554224574998443E-11
INTERPRO	IPR000020:Anaphylatoxin/fibulin	10	1.3869625520110958	3.8053040463320105E-14	P01030, P01031, P12387, P08649, P98093, P01027, Q2UVX4, P01024, P0C0L4, P01025	703	19	76330	57.146065733323354	5.4074522637392874E-11	1.8024803871696804E-11	6.284972542403011E-11
GOTERM_CC_DIRECT	GO:0005759~mitochondrial matrix	39	5.409153952843273	4.584327823701691E-14	P00367, Q9DCM0, Q8BMF3, Q2KHZ9, Q9UL12, P49914, A4QVH4, P53597, Q5NVR2, Q9WUM5, P00508, Q29448, Q2TBR0, P09623, Q9Z1P3, P05166, Q96I99, P13804, P36957, Q5RE79, P34943, O75489, P12762, Q7SY23, Q99LB7, P21953, Q68FU3, P04181, C7ZA26, Q60759, O95299, Q99MN9, P31937, Q8HYS5, P15650, P11884, P28331, Q99797, Q86X67	672	873	68124	4.528780068728523	2.03125294362394E-11	6.77080613797898E-12	6.490363801958665E-11
INTERPRO	IPR001840:Complement C3a/C4a/C5a anaphylatoxin	9	1.248266296809986	6.081869552557205E-14	P01030, P01031, P12387, P08649, P01027, Q2UVX4, P01024, P0C0L4, P01025	703	13	76330	75.16905569537148	8.639311488423118E-11	2.1598278721057795E-11	1.0041967257734541E-10
SMART	SM00104:ANATO	10	1.3869625520110958	1.1845353157836517E-13	P01030, P01031, P12387, P08649, P98093, P01027, Q2UVX4, P01024, P0C0L4, P01025	355	19	33701	49.9644180874722	3.1747493522971126E-11	1.5873746761485563E-11	1.5557555244072319E-10
UP_KEYWORDS	Disease mutation	52	7.212205270457697	1.7204363891898865E-13	Q5SWA1, P35520, P00367, P04114, Q9UL12, P53597, P08603, P11586, Q07973, Q16625, O43291, P40259, P25054, P13804, P32929, P01024, P16930, P06681, Q9NZ01, P10619, P02679, Q6UX65, P02786, P05089, Q9BXR6, P05107, P04181, P28331, P14222, P13797, Q15067, P51659, P15814, O76082, A6NNB3, Q13315, Q8N6F1, O95479, P17735, P00751, Q9BQP7, P05166, Q9NR28, P05160, Q13509, P35492, P49638, P21953, P19367, Q9UNW1, Q2WEN9, P0C0L4	719	1711	79990	3.3811165419859552	7.692180226115397E-11	6.992850742904011E-12	2.4390489627990064E-10
GOTERM_CC_DIRECT	GO:0043209~myelin sheath	26	3.6061026352288486	3.0363047514843455E-13	Q5RFH9, O88989, P19536, Q5NVR2, Q9CZ13, Q6B4U9, P00508, P09623, Q03265, Q6B855, P82013, Q5ZLN1, Q9JK11, P36957, P23004, Q8CAQ8, O75489, P31800, P11179, P15999, P50395, O95299, Q9Z329, P28331, Q63198, Q06647	672	392	68124	6.723852040816326	1.3451517677509628E-10	3.3628766438198454E-11	4.298117417533831E-10
UP_SEQ_FEATURE	disulfide bond	111	15.39528432732316	7.338809259233995E-12	P04114, P81187, P08603, P14650, Q28085, O43291, Q1WLP9, Q16627, Q9I8N6, Q91ZX1, Q864W0, P98093, Q8BWF0, P08174, P06681, P10619, Q62928, Q6V0K7, P04186, P98165, P01882, Q03591, Q9R182, P26824, Q6UXC1, Q28072, P11941, P04233, P08169, O19477, P14222, Q02445, Q86XS5, O75829, P55067, Q6P1C6, P97468, Q95460, P09623, Q9EP73, Q29RU4, Q3UZZ4, Q9UHC6, P78556, Q2UVX4, Q60754, Q5R412, Q09101, Q8WTT0, Q2WEN9, P35382, Q62469, P0C0L4, P01030, P01031, O70460, P08649, P53690, Q5R5B6, Q5EA85, Q07968, P13609, P40259, A9QWP9, P01027, P97583, P01024, P02679, Q5E968, P02786, Q01151, P26151, Q60675, Q9BXR6, Q70I47, Q9ULY5, P05107, P23576, P02701, P31722, P56159, Q5ZJF4, Q8HY81, P25116, P17690, Q63198, O73872, Q7Z4H4, P29279, P15814, P12799, P48960, O89093, P26644, Q3SYW2, P00751, P19637, P21188, O46427, P05160, Q8VEJ3, P17634, Q924C5, Q91590, Q3ZCJ8, P18468, P06909, P12387, O15393, Q2KIV9, Q63514	635	5942	67159	1.9756992131284836	1.2035625718276322E-8	2.0059376382164373E-9	1.2325263032408884E-8
UP_SEQ_FEATURE	domain:Sushi 4	12	1.6643550624133148	7.421736333291004E-12	Q07968, Q09101, Q03591, P08603, Q28085, Q9BXR6, Q63514, P08174, P17690, P05160, P06909, P26644	635	58	67159	21.881835460222643	1.21716369205771E-8	1.738805321949144E-9	1.246454051084811E-8
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	45	6.2413314840499305	2.4490454726895857E-11	Q2TBK2, Q9CQ54, O46629, P53597, P00428, Q5F339, P19536, Q5NVR2, Q86UD5, Q9WUM5, Q9CZ13, P00508, Q29448, Q91YT0, Q07973, Q5T653, Q03265, P82013, P82669, Q15070, Q7ZVF3, Q99MQ3, A3LQ52, A5E047, O95167, Q8CAQ8, A4IG32, P31800, O95847, P56382, Q9JM53, Q63ZW2, P79110, O95563, C7ZA26, Q60759, P15999, Q58DQ5, O01884, P00125, O95299, Q35920, P20350, P21571, A5PL98	672	1395	68124	3.2701612903225805	1.0849251386169101E-8	2.1698502994382807E-9	3.466663622830879E-8
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	58	8.044382801664355	3.665887181877787E-11	P00367, Q9EQ20, Q9UL12, P14650, P11586, Q91YT0, Q07973, Q15070, Q920P0, Q9DBS4, Q2KJC9, Q8BWF0, Q8CG45, Q01741, Q9NZ01, Q7TQA3, Q64441, A8E657, Q99LB7, P50169, Q68FU3, P00125, Q7ZW77, A1L1V4, A6QPN6, Q66I21, P15650, Q5PRA2, P11884, Q99L27, Q5ZJF4, Q8WNV7, Q7ZVB2, Q9DCM0, Q8BMF3, Q95Q98, O73872, Q6P5L8, Q9CZ13, Q8N2H3, P09623, O95479, O88844, P30043, Q7ZVF3, P34943, Q802W2, A7MBU6, Q7SY23, Q9JM53, P21953, Q60759, O01884, P50395, Q7ZV14, P31937, P26374, A5PL98	647	2238	67534	2.7051173146701695	8.453541555653032E-8	2.1133854555266396E-8	6.40759445502681E-8
INTERPRO	IPR011626:A-macroglobulin complement component	10	1.3869625520110958	4.423515823246544E-11	P01030, P01031, P12387, P08649, P98093, P01027, Q2UVX4, P01024, P0C0L4, P01025	703	37	76330	29.34527699819307	6.2813940937545E-8	1.2562788476166986E-8	7.301104165691186E-8
INTERPRO	IPR009048:Alpha-macroglobulin, receptor-binding	10	1.3869625520110958	4.423515823246544E-11	P01030, P01031, P12387, P08649, P98093, P01027, Q2UVX4, P01024, P0C0L4, P01025	703	37	76330	29.34527699819307	6.2813940937545E-8	1.2562788476166986E-8	7.301104165691186E-8
INTERPRO	IPR011360:Complement B/C2	7	0.9708737864077669	4.860595548168543E-11	Q3SYW2, P00751, P04186, P81187, Q864W0, Q8SQ74, P06681	703	9	76330	84.4491860281334	6.902052918089652E-8	1.1503421881720044E-8	8.02251931553144E-8
GOTERM_CC_DIRECT	GO:0005615~extracellular space	65	9.015256588072122	8.345476504096212E-11	P01030, P01031, O70460, P08649, P04114, P08603, P14650, Q5EA85, Q2TBI0, P55906, Q16627, P13609, Q5JJ64, A9QWP9, P98093, P01027, P01024, P06681, P01025, P02679, Q5E968, P04186, P98165, P02786, P05089, Q03591, Q9R182, Q76B49, P11941, P31722, Q5ZJF4, Q8HY81, Q02445, Q9Y4B5, O89051, P51655, O88989, P29279, O42204, Q6P1C6, P48960, Q6B4U9, Q96FZ5, O89093, P26644, P00751, P01836, P19637, O46427, Q3UZZ4, P50450, P78556, Q2UVX4, P18468, Q3ZCJ8, O93449, P06909, P01015, P13731, P62937, P12387, Q75ZP3, Q2WEN9, Q63514, P0C0L4	672	2664	68124	2.473489114114114	3.6970475125741586E-8	6.1617458912976986E-9	1.1813182654307752E-7
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	20	2.7739251040221915	1.0642653509690238E-10	P02679, P04186, B9A064, P02786, Q03591, P08603, P15814, Q2UVX4, P12799, P06909, P01015, P00751, P12387, P01836, P31722, P01027, Q2KIV9, Q63514, P01024, P0C0L4	672	286	68124	7.089160839160838	4.7146953563448335E-8	6.73527922323558E-9	1.5064874903103487E-7
SMART	SM01361:SM01361	10	1.3869625520110958	1.3506274747225847E-10	P01030, P01031, P12387, P08649, P98093, P01027, Q2UVX4, P01024, P0C0L4, P01025	355	37	33701	25.657403882755997	3.619681332445168E-8	1.2065604626521065E-8	1.7737749047341822E-7
PIR_SUPERFAMILY	PIRSF001154:complement B/C2	7	0.9708737864077669	1.8853907904002023E-10	Q3SYW2, P00751, P04186, P81187, Q864W0, Q8SQ74, P06681	119	9	10047	65.66666666666667	1.8476828955726887E-8	1.8476828955726887E-8	2.0846967485610435E-7
INTERPRO	IPR018933:Netrin module, non-TIMP type	10	1.3869625520110958	2.951242466330314E-10	P01030, P01031, P12387, P08649, P98093, P01027, Q2UVX4, P01024, P0C0L4, P01025	703	45	76330	24.12833886518097	4.1907635917048935E-7	5.986806206337292E-8	4.871085201862968E-7
INTERPRO	IPR019742:Alpha-2-macroglobulin, conserved site	9	1.248266296809986	3.220576626914112E-10	P01030, P12387, P08649, P98093, P01027, Q2UVX4, P01024, P0C0L4, P01025	703	31	76330	31.522507227091264	4.5732184916769114E-7	5.716524253962518E-8	5.315627271684775E-7
